name,bugs,path
list_reverse,0,bash-3.2/list.c
list_length,0,bash-3.2/list.c
list_append,0,bash-3.2/list.c
free,0,bash-3.2/lib/malloc/malloc.c
pow_10,0,bash-3.2/lib/sh/snprintf.c
log_10,0,bash-3.2/lib/sh/snprintf.c
integral,0,bash-3.2/lib/sh/snprintf.c
numtoa,1,bash-3.2/lib/sh/snprintf.c
init_data,0,bash-3.2/lib/sh/snprintf.c
init_conv_flag,0,bash-3.2/lib/sh/snprintf.c
floating,1,bash-3.2/lib/sh/snprintf.c
exponent,1,bash-3.2/lib/sh/snprintf.c
number,1,bash-3.2/lib/sh/snprintf.c
pointer,1,bash-3.2/lib/sh/snprintf.c
strings,0,bash-3.2/lib/sh/snprintf.c
dfallback,0,bash-3.2/lib/sh/snprintf.c
groupnum,0,bash-3.2/lib/sh/snprintf.c
xfree,0,bash-3.2/lib/malloc/xmalloc.c
xmalloc,0,bash-3.2/lib/termcap/termcap.c
wait_sigint_handler,0,bash-3.2/jobs.c
malloc,0,bash-3.2/lib/malloc/malloc.c
isinf,0,bash-3.2/lib/sh/snprintf.c
isnan,0,bash-3.2/lib/sh/snprintf.c
chkinfnan,0,bash-3.2/lib/sh/snprintf.c
vsnprintf_internal,1,bash-3.2/lib/sh/snprintf.c
vsnprintf,0,bash-3.2/lib/sh/snprintf.c
snprintf,0,bash-3.2/lib/sh/snprintf.c
vasprintf,0,bash-3.2/lib/sh/snprintf.c
asprintf,0,bash-3.2/lib/sh/snprintf.c
realloc,0,bash-3.2/lib/malloc/malloc.c
malloc_watch,0,bash-3.2/lib/malloc/watch.c
malloc_unwatch,0,bash-3.2/lib/malloc/watch.c
send_pwd_to_eterm,0,bash-3.2/eval.c
alrm_catcher,0,bash-3.2/eval.c
reader_loop,0,bash-3.2/eval.c
signal_is_ignored,0,bash-3.2/trap.c
sigint_sighandler,0,bash-3.2/sig.c
dispose_command,0,bash-3.2/dispose_cmd.c
command_error,0,bash-3.2/error.c
dispose_used_env_vars,0,bash-3.2/variables.c
read_command,0,bash-3.2/eval.c
execute_command,0,bash-3.2/execute_cmd.c
termsig_handler,0,bash-3.2/sig.c
throw_to_top_level,0,bash-3.2/sig.c
jump_to_top_level,0,bash-3.2/sig.c
get_string_value,0,bash-3.2/variables.c
get_working_directory,1,bash-3.2/builtins/common.c
parse_command,0,bash-3.2/eval.c
run_pending_traps,0,bash-3.2/trap.c
execute_variable_command,0,bash-3.2/y.tab.c
yyparse,0,bash-3.2/y.tab.c
gather_here_documents,0,bash-3.2/y.tab.c
set_current_prompt_level,0,bash-3.2/y.tab.c
find_variable,0,bash-3.2/variables.c
memory_error_and_abort,0,bash-3.2/lib/malloc/xmalloc.c
xmalloc,0,bash-3.2/lib/malloc/xmalloc.c
xrealloc,0,bash-3.2/lib/malloc/xmalloc.c
tparam1,0,bash-3.2/lib/termcap/tparam.c
tparam,0,bash-3.2/lib/termcap/tparam.c
tgoto,0,bash-3.2/lib/termcap/tparam.c
bcopy,0,bash-3.2/lib/sh/oslib.c
inttostr,0,bash-3.2/lib/sh/itos.c
fmtumax,0,bash-3.2/lib/sh/fmtulong.c
itos,0,bash-3.2/lib/sh/itos.c
uinttostr,0,bash-3.2/lib/sh/itos.c
uitos,0,bash-3.2/lib/sh/itos.c
collsym,0,bash-3.2/lib/glob/smatch.c
is_cclass,0,bash-3.2/lib/glob/smatch.c
xstrmatch,0,bash-3.2/lib/glob/smatch.c
internal_strmatch,0,bash-3.2/lib/glob/sm_loop.c
unlink_builtin,0,bash-3.2/examples/loadables/unlink.c
builtin_usage,0,bash-3.2/builtins/common.c
builtin_error,0,bash-3.2/builtins/common.c
stpcpy,0,bash-3.2/lib/intl/l10nflist.c
dirname_builtin,0,bash-3.2/examples/loadables/dirname.c
no_options,0,bash-3.2/builtins/common.c
ansicstr,0,bash-3.2/lib/sh/strtrans.c
ansic_quote,0,bash-3.2/lib/sh/strtrans.c
ansic_shouldquote,0,bash-3.2/lib/sh/strtrans.c
ansiexpand,0,bash-3.2/lib/sh/strtrans.c
libintl_dcigettext,0,bash-3.2/lib/intl/dcigettext.c
libintl_dcngettext,0,bash-3.2/lib/intl/dcngettext.c
array_create,0,bash-3.2/builtins/mkbuiltins.c
make_for_or_select,0,bash-3.2/make_cmd.c
make_until_or_while,0,bash-3.2/make_cmd.c
cmd_init,0,bash-3.2/make_cmd.c
alloc_word_desc,0,bash-3.2/make_cmd.c
make_bare_word,0,bash-3.2/make_cmd.c
make_word_flags,0,bash-3.2/make_cmd.c
make_word,0,bash-3.2/make_cmd.c
make_word_from_token,0,bash-3.2/make_cmd.c
make_word_list,0,bash-3.2/make_cmd.c
make_command,0,bash-3.2/make_cmd.c
command_connect,0,bash-3.2/make_cmd.c
make_for_command,0,bash-3.2/make_cmd.c
make_select_command,0,bash-3.2/make_cmd.c
make_arith_for_command,0,bash-3.2/make_cmd.c
substring,0,bash-3.2/stringlib.c
parser_error,0,bash-3.2/error.c
dispose_words,0,bash-3.2/dispose_cmd.c
make_group_command,0,bash-3.2/make_cmd.c
make_case_command,0,bash-3.2/make_cmd.c
make_pattern_list,0,bash-3.2/make_cmd.c
make_if_command,0,bash-3.2/make_cmd.c
make_while_command,0,bash-3.2/make_cmd.c
make_until_command,0,bash-3.2/make_cmd.c
make_arith_command,0,bash-3.2/make_cmd.c
make_cond_command,0,bash-3.2/make_cmd.c
make_bare_simple_command,0,bash-3.2/make_cmd.c
make_simple_command,0,bash-3.2/make_cmd.c
make_here_document,0,bash-3.2/make_cmd.c
internal_error,0,bash-3.2/error.c
string_quote_removal,0,bash-3.2/subst.c
read_secondary_line,0,bash-3.2/y.tab.c
make_redirection,1,bash-3.2/make_cmd.c
all_digits,0,bash-3.2/general.c
legal_number,0,bash-3.2/general.c
dispose_word,0,bash-3.2/dispose_cmd.c
process_exit_status,0,bash-3.2/jobs.c
make_function_def,0,bash-3.2/make_cmd.c
bind_function_def,0,bash-3.2/variables.c
make_subshell_command,0,bash-3.2/make_cmd.c
clean_simple_command,0,bash-3.2/make_cmd.c
connect_async_list,0,bash-3.2/make_cmd.c
tgetent,0,bash-3.2/lib/termcap/termcap.c
tgetflag,0,bash-3.2/lib/termcap/termcap.c
tgetnum,0,bash-3.2/lib/termcap/termcap.c
tgetstr,0,bash-3.2/lib/termcap/termcap.c
tputs,0,bash-3.2/lib/termcap/termcap.c
stat_char,0,bash-3.2/lib/readline/complete.c
path_isdir,0,bash-3.2/lib/readline/complete.c
rl_quote_filename,0,bash-3.2/lib/readline/complete.c
set_completion_defaults,0,bash-3.2/lib/readline/complete.c
get_y_or_n,1,bash-3.2/lib/readline/complete.c
_rl_internal_pager,0,bash-3.2/lib/readline/complete.c
printable_part,0,bash-3.2/lib/readline/complete.c
fnwidth,0,bash-3.2/lib/readline/complete.c
fnprint,0,bash-3.2/lib/readline/complete.c
print_filename,0,bash-3.2/lib/readline/complete.c
gen_completion_matches,0,bash-3.2/lib/readline/complete.c
remove_duplicate_matches,0,bash-3.2/lib/readline/complete.c
insert_match,0,bash-3.2/lib/readline/complete.c
append_to_match,0,bash-3.2/lib/readline/complete.c
insert_all_matches,0,bash-3.2/lib/readline/complete.c
display_matches,0,bash-3.2/lib/readline/complete.c
compute_lcd_of_matches,0,bash-3.2/lib/readline/complete.c
postprocess_matches,0,bash-3.2/lib/readline/complete.c
make_quoted_replacement,0,bash-3.2/lib/readline/complete.c
rl_complete,0,bash-3.2/lib/readline/complete.c
_rl_insert_char,0,bash-3.2/lib/readline/text.c
rl_complete_internal,0,bash-3.2/lib/readline/complete.c
rl_possible_completions,0,bash-3.2/lib/readline/complete.c
rl_insert_completions,0,bash-3.2/lib/readline/complete.c
rl_completion_mode,0,bash-3.2/lib/readline/complete.c
rl_read_key,0,bash-3.2/lib/readline/input.c
_rl_abort_internal,0,bash-3.2/lib/readline/util.c
rl_ding,0,bash-3.2/lib/readline/terminal.c
_rl_erase_entire_line,0,bash-3.2/lib/readline/display.c
strrchr,0,bash-3.2/lib/sh/oslib.c
memset,0,bash-3.2/lib/sh/memset.c
_rl_find_completion_word,0,bash-3.2/lib/readline/complete.c
strchr,0,bash-3.2/lib/sh/oslib.c
rl_completion_matches,0,bash-3.2/lib/readline/complete.c
_rl_qsort_string_compare,0,bash-3.2/lib/readline/util.c
rl_display_match_list,0,bash-3.2/lib/readline/complete.c
rl_crlf,0,bash-3.2/lib/readline/terminal.c
_rl_move_vert,0,bash-3.2/lib/readline/display.c
rl_forced_update_display,0,bash-3.2/lib/readline/display.c
_rl_strpbrk,0,bash-3.2/lib/readline/util.c
_rl_replace_text,0,bash-3.2/lib/readline/text.c
rl_insert_text,0,bash-3.2/lib/readline/text.c
rl_begin_undo_group,0,bash-3.2/lib/readline/undo.c
rl_delete_text,0,bash-3.2/lib/readline/text.c
rl_end_undo_group,0,bash-3.2/lib/readline/undo.c
_rl_free_match_list,0,bash-3.2/lib/readline/complete.c
rl_filename_completion_function,0,bash-3.2/lib/readline/complete.c
rl_copy_text,0,bash-3.2/lib/readline/util.c
rl_username_completion_function,0,bash-3.2/lib/readline/complete.c
_rl_strnicmp,0,bash-3.2/lib/readline/util.c
rl_menu_complete,0,bash-3.2/lib/readline/complete.c
history_search_internal,0,bash-3.2/lib/readline/histsearch.c
history_list,0,bash-3.2/lib/readline/history.c
history_search,0,bash-3.2/lib/readline/histsearch.c
history_search_prefix,0,bash-3.2/lib/readline/histsearch.c
history_search_pos,0,bash-3.2/lib/readline/histsearch.c
where_history,0,bash-3.2/lib/readline/history.c
history_set_pos,0,bash-3.2/lib/readline/history.c
rl_redisplay,1,bash-3.2/lib/readline/display.c
rl_getc,0,bash-3.2/lib/readline/input.c
bind_termcap_arrow_keys,0,bash-3.2/lib/readline/terminal.c
_rl_get_screen_size,0,bash-3.2/lib/readline/terminal.c
sh_get_home_dir,0,bash-3.2/lib/readline/shell.c
_rl_set_screen_size,0,bash-3.2/lib/readline/terminal.c
_rl_init_terminal_io,0,bash-3.2/lib/readline/terminal.c
rl_set_screen_size,0,bash-3.2/lib/readline/terminal.c
rl_get_screen_size,0,bash-3.2/lib/readline/terminal.c
rl_reset_screen_size,0,bash-3.2/lib/readline/terminal.c
rl_resize_terminal,0,bash-3.2/lib/readline/terminal.c
_rl_redisplay_after_sigwinch,0,bash-3.2/lib/readline/display.c
get_term_capabilities,0,bash-3.2/lib/readline/terminal.c
rl_bind_keyseq_if_unbound,0,bash-3.2/lib/readline/bind.c
rl_get_previous_history,0,bash-3.2/lib/readline/misc.c
rl_get_next_history,0,bash-3.2/lib/readline/misc.c
rl_forward_char,0,bash-3.2/lib/readline/text.c
rl_backward_char,0,bash-3.2/lib/readline/text.c
rl_beg_of_line,0,bash-3.2/lib/readline/text.c
rl_end_of_line,0,bash-3.2/lib/readline/text.c
rl_delete,0,bash-3.2/lib/readline/text.c
rl_get_termcap,0,bash-3.2/lib/readline/terminal.c
rl_reset_terminal,0,bash-3.2/lib/readline/terminal.c
_rl_output_character_function,0,bash-3.2/lib/readline/terminal.c
_rl_output_some_chars,0,bash-3.2/lib/readline/terminal.c
_rl_backspace,0,bash-3.2/lib/readline/terminal.c
_rl_enable_meta_key,0,bash-3.2/lib/readline/terminal.c
_rl_control_keypad,0,bash-3.2/lib/readline/terminal.c
_rl_set_cursor,0,bash-3.2/lib/readline/terminal.c
rl_free_undo_list,0,bash-3.2/lib/readline/undo.c
rl_maybe_save_line,0,bash-3.2/lib/readline/misc.c
rl_maybe_unsave_line,0,bash-3.2/lib/readline/misc.c
rl_maybe_replace_line,0,bash-3.2/lib/readline/misc.c
rl_alphabetic,0,bash-3.2/lib/readline/util.c
free_undo_list,0,bash-3.2/lib/readline/compat.c
maybe_replace_line,0,bash-3.2/lib/readline/compat.c
maybe_save_line,0,bash-3.2/lib/readline/compat.c
maybe_unsave_line,0,bash-3.2/lib/readline/compat.c
ding,0,bash-3.2/lib/readline/compat.c
crlf,0,bash-3.2/lib/readline/compat.c
alphabetic,0,bash-3.2/lib/readline/compat.c
completion_matches,0,bash-3.2/lib/readline/compat.c
username_completion_function,0,bash-3.2/lib/readline/compat.c
filename_completion_function,0,bash-3.2/lib/readline/compat.c
bash_special_tilde_expansions,0,bash-3.2/general.c
unquoted_tilde_word,0,bash-3.2/general.c
initialize_group_array,0,bash-3.2/general.c
posix_initialize,0,bash-3.2/general.c
legal_identifier,0,bash-3.2/general.c
check_identifier,0,bash-3.2/general.c
legal_alias_name,0,bash-3.2/general.c
assignment,0,bash-3.2/general.c
sh_validfd,0,bash-3.2/general.c
check_dev_tty,0,bash-3.2/general.c
same_file,0,bash-3.2/general.c
move_to_high_fd,0,bash-3.2/general.c
getdtablesize,0,bash-3.2/lib/sh/oslib.c
dup2,0,bash-3.2/lib/sh/oslib.c
check_binary_file,0,bash-3.2/general.c
file_isdir,0,bash-3.2/general.c
file_iswdir,0,bash-3.2/general.c
sh_eaccess,0,bash-3.2/lib/sh/eaccess.c
absolute_pathname,0,bash-3.2/general.c
absolute_program,0,bash-3.2/general.c
xstrchr,0,bash-3.2/lib/sh/xstrchr.c
make_absolute,0,bash-3.2/general.c
sh_makepath,0,bash-3.2/lib/sh/makepath.c
base_pathname,0,bash-3.2/general.c
full_pathname,0,bash-3.2/general.c
bash_tilde_expand,0,bash-3.2/general.c
polite_directory_format,0,bash-3.2/general.c
extract_colon_unit,0,bash-3.2/general.c
tilde_initialize,0,bash-3.2/general.c
strvec_create,0,bash-3.2/lib/sh/stringvec.c
bash_tilde_find_word,0,bash-3.2/general.c
getmaxgroups,0,bash-3.2/lib/sh/oslib.c
group_member,0,bash-3.2/general.c
get_group_list,0,bash-3.2/general.c
get_group_array,0,bash-3.2/general.c
malloc_set_trace,0,bash-3.2/lib/malloc/trace.c
malloc_set_tracefp,0,bash-3.2/lib/malloc/trace.c
malloc_trace_bin,0,bash-3.2/lib/malloc/trace.c
malloc_set_tracefn,0,bash-3.2/lib/malloc/trace.c
mark_dead_jobs_as_notified,0,bash-3.2/jobs.c
xfree,0,bash-3.2/lib/readline/xmalloc.c
xmalloc,0,bash-3.2/builtins/mkbuiltins.c
wait_sigint_handler,0,bash-3.2/nojobs.c
copy_function_def_contents,0,bash-3.2/copy_cmd.c
copy_function_def,0,bash-3.2/copy_cmd.c
copy_word,0,bash-3.2/copy_cmd.c
copy_word_list,0,bash-3.2/copy_cmd.c
copy_redirect,1,bash-3.2/copy_cmd.c
copy_redirects,0,bash-3.2/copy_cmd.c
copy_command,0,bash-3.2/copy_cmd.c
quoted_strchr,0,bash-3.2/subst.c
expand_string_if_necessary,0,bash-3.2/subst.c
expand_string_to_string_internal,0,bash-3.2/subst.c
call_expand_word_internal,0,bash-3.2/subst.c
expand_string_internal,0,bash-3.2/subst.c
expand_string_leave_quoted,0,bash-3.2/subst.c
expand_string_for_rhs,0,bash-3.2/subst.c
list_quote_escapes,0,bash-3.2/subst.c
dequote_escapes,1,bash-3.2/subst.c
make_quoted_char,0,bash-3.2/subst.c
quote_list,0,bash-3.2/subst.c
remove_quoted_escapes,0,bash-3.2/subst.c
remove_quoted_nulls,0,bash-3.2/subst.c
unquoted_substring,0,bash-3.2/subst.c
unquoted_member,0,bash-3.2/subst.c
do_assignment_internal,0,bash-3.2/subst.c
string_extract_verbatim,0,bash-3.2/subst.c
string_extract,0,bash-3.2/subst.c
string_extract_double_quoted,0,bash-3.2/subst.c
string_extract_single_quoted,0,bash-3.2/subst.c
skip_single_quoted,0,bash-3.2/subst.c
skip_double_quoted,0,bash-3.2/subst.c
extract_delimited_string,0,bash-3.2/subst.c
extract_dollar_brace_string,1,bash-3.2/subst.c
pos_params,0,bash-3.2/subst.c
remove_upattern,0,bash-3.2/subst.c
remove_pattern,0,bash-3.2/subst.c
match_pattern_char,0,bash-3.2/subst.c
match_upattern,0,bash-3.2/subst.c
match_pattern,0,bash-3.2/subst.c
getpatspec,0,bash-3.2/subst.c
getpattern,0,bash-3.2/subst.c
list_remove_pattern,0,bash-3.2/subst.c
parameter_list_remove_pattern,0,bash-3.2/subst.c
parameter_brace_remove_pattern,1,bash-3.2/subst.c
read_comsub,1,bash-3.2/subst.c
valid_brace_expansion_word,0,bash-3.2/subst.c
chk_atstar,0,bash-3.2/subst.c
chk_arithsub,0,bash-3.2/subst.c
parameter_brace_expand_word,1,bash-3.2/subst.c
parameter_brace_expand_indir,0,bash-3.2/subst.c
parameter_brace_expand_rhs,0,bash-3.2/subst.c
parameter_brace_expand_error,0,bash-3.2/subst.c
valid_length_expression,0,bash-3.2/subst.c
parameter_brace_expand_length,0,bash-3.2/subst.c
skiparith,0,bash-3.2/subst.c
verify_substring_values,0,bash-3.2/subst.c
get_var_and_type,0,bash-3.2/subst.c
parameter_brace_substring,1,bash-3.2/subst.c
pos_params_pat_subst,0,bash-3.2/subst.c
parameter_brace_patsub,1,bash-3.2/subst.c
parameter_brace_expand,0,bash-3.2/subst.c
param_expand,0,bash-3.2/subst.c
expand_word_internal,0,bash-3.2/subst.c
word_list_split,0,bash-3.2/subst.c
exp_jump_to_top_level,1,bash-3.2/subst.c
separate_out_assignments,0,bash-3.2/subst.c
glob_expand_word_list,1,bash-3.2/subst.c
shell_expand_word_list,0,bash-3.2/subst.c
expand_word_list_internal,0,bash-3.2/subst.c
sub_append_string,0,bash-3.2/subst.c
extract_command_subst,0,bash-3.2/subst.c
extract_arithmetic_subst,0,bash-3.2/subst.c
report_error,0,bash-3.2/error.c
de_backslash,0,bash-3.2/subst.c
string_list_internal,0,bash-3.2/subst.c
string_list,0,bash-3.2/subst.c
string_list_dollar_star,0,bash-3.2/subst.c
string_list_dollar_at,1,bash-3.2/subst.c
list_string,0,bash-3.2/subst.c
get_word_from_string,0,bash-3.2/subst.c
strip_trailing_ifs_whitespace,0,bash-3.2/subst.c
expand_string_assignment,0,bash-3.2/subst.c
xtrace_print_assignment,0,bash-3.2/print_cmd.c
bind_variable,0,bash-3.2/variables.c
stupidly_hack_special_variables,0,bash-3.2/variables.c
do_assignment,0,bash-3.2/subst.c
do_word_assignment,0,bash-3.2/subst.c
do_assignment_no_expand,0,bash-3.2/subst.c
list_rest_of_args,0,bash-3.2/subst.c
number_of_args,0,bash-3.2/subst.c
get_dollar_var_value,0,bash-3.2/subst.c
string_rest_of_args,0,bash-3.2/subst.c
expand_string_to_string,0,bash-3.2/subst.c
expand_string,0,bash-3.2/subst.c
expand_string_unsplit_to_string,0,bash-3.2/subst.c
expand_string_unsplit,0,bash-3.2/subst.c
expand_assignment_string_to_string,0,bash-3.2/subst.c
expand_arith_string,0,bash-3.2/subst.c
dequote_list,0,bash-3.2/subst.c
quote_string_for_globbing,1,bash-3.2/pathexp.c
expand_prompt_string,1,bash-3.2/subst.c
quote_escapes,1,bash-3.2/subst.c
quote_string,0,bash-3.2/subst.c
dequote_string,0,bash-3.2/subst.c
word_list_remove_quoted_nulls,0,bash-3.2/subst.c
strmatch,0,bash-3.2/lib/glob/strmatch.c
expand_word,0,bash-3.2/subst.c
expand_word_unsplit,0,bash-3.2/subst.c
expand_word_leave_quoted,0,bash-3.2/subst.c
sh_mktmpname,0,bash-3.2/lib/sh/tmpfile.c
sys_error,0,bash-3.2/error.c
save_pipeline,0,bash-3.2/jobs.c
main,0,bash-3.2/support/mksignames.c
reset_terminating_signals,0,bash-3.2/sig.c
free_pushed_string_input,0,bash-3.2/y.tab.c
restore_original_signals,0,bash-3.2/trap.c
setup_async_signals,0,bash-3.2/execute_cmd.c
set_sigchld_handler,0,bash-3.2/jobs.c
restore_pipeline,0,bash-3.2/jobs.c
set_sigint_handler,0,bash-3.2/trap.c
set_job_control,0,bash-3.2/jobs.c
close_fd_bitmap,0,bash-3.2/execute_cmd.c
parse_and_execute,1,bash-3.2/builtins/evalstring.c
zread,0,bash-3.2/lib/sh/zread.c
internal_warning,0,bash-3.2/error.c
strip_trailing,0,bash-3.2/stringlib.c
command_substitute,1,bash-3.2/subst.c
maybe_make_export_env,0,bash-3.2/variables.c
cleanup_the_pipeline,0,bash-3.2/jobs.c
reset_signal_handlers,0,bash-3.2/trap.c
run_exit_trap,0,bash-3.2/trap.c
usage,0,bash-3.2/mksyntax.c
err_unboundvar,0,bash-3.2/error.c
dispose_word_desc,0,bash-3.2/dispose_cmd.c
which_set_flags,0,bash-3.2/flags.c
evalexp,1,bash-3.2/expr.c
pat_subst,0,bash-3.2/subst.c
all_variables_matching_prefix,0,bash-3.2/variables.c
strvec_to_word_list,0,bash-3.2/lib/sh/stringvec.c
setifs,0,bash-3.2/subst.c
strnlen,0,bash-3.2/lib/sh/strnlen.c
getifs,0,bash-3.2/subst.c
word_split,0,bash-3.2/subst.c
expand_words,0,bash-3.2/subst.c
expand_words_no_vars,0,bash-3.2/subst.c
expand_words_shellexp,0,bash-3.2/subst.c
unquoted_glob_pattern_p,0,bash-3.2/pathexp.c
shell_glob_filename,0,bash-3.2/pathexp.c
strvec_dispose,0,bash-3.2/lib/sh/stringvec.c
assign_in_env,1,bash-3.2/variables.c
ttgetattr,0,bash-3.2/lib/sh/shtty.c
ttsetattr,0,bash-3.2/lib/sh/shtty.c
ttsave,0,bash-3.2/lib/sh/shtty.c
ttrestore,0,bash-3.2/lib/sh/shtty.c
ttattr,0,bash-3.2/lib/sh/shtty.c
tt_setonechar,0,bash-3.2/lib/sh/shtty.c
tt_setnoecho,0,bash-3.2/lib/sh/shtty.c
tt_seteightbit,0,bash-3.2/lib/sh/shtty.c
tt_setnocanon,0,bash-3.2/lib/sh/shtty.c
tt_setcbreak,0,bash-3.2/lib/sh/shtty.c
ttonechar,0,bash-3.2/lib/sh/shtty.c
ttnoecho,0,bash-3.2/lib/sh/shtty.c
tteightbit,0,bash-3.2/lib/sh/shtty.c
ttnocanon,0,bash-3.2/lib/sh/shtty.c
ttcbreak,0,bash-3.2/lib/sh/shtty.c
mailstat,0,bash-3.2/lib/sh/mailstat.c
find_mail_file,0,bash-3.2/mailcheck.c
update_mail_file,0,bash-3.2/mailcheck.c
add_mail_file,0,bash-3.2/mailcheck.c
file_mod_date_changed,0,bash-3.2/mailcheck.c
file_access_date_changed,0,bash-3.2/mailcheck.c
file_has_grown,0,bash-3.2/mailcheck.c
parse_mailpath_spec,0,bash-3.2/mailcheck.c
time_to_check_mail,0,bash-3.2/mailcheck.c
reset_mail_timer,0,bash-3.2/mailcheck.c
reset_mail_files,0,bash-3.2/mailcheck.c
free_mail_files,0,bash-3.2/mailcheck.c
make_default_mailpath,0,bash-3.2/mailcheck.c
get_current_user_info,0,bash-3.2/shell.c
remember_mail_dates,0,bash-3.2/mailcheck.c
check_mail,0,bash-3.2/mailcheck.c
unbind_variable,0,bash-3.2/variables.c
find_matching_open,0,bash-3.2/lib/readline/parens.c
_rl_enable_paren_matching,0,bash-3.2/lib/readline/parens.c
rl_bind_key_in_map,0,bash-3.2/lib/readline/bind.c
rl_insert_close,0,bash-3.2/lib/readline/parens.c
rl_insert,0,bash-3.2/lib/readline/text.c
rl_set_paren_blink_timeout,0,bash-3.2/lib/readline/parens.c
xmalloc,0,bash-3.2/lib/readline/xmalloc.c
xrealloc,0,bash-3.2/lib/readline/xmalloc.c
is_special_builtin,0,bash-3.2/builtins/mkbuiltins.c
is_assignment_builtin,0,bash-3.2/builtins/mkbuiltins.c
rename,0,bash-3.2/builtins/mkbuiltins.c
extract_info,0,bash-3.2/builtins/mkbuiltins.c
fcopy,0,bash-3.2/examples/loadables/cat.c
line_error,0,bash-3.2/builtins/mkbuiltins.c
write_file_headers,0,bash-3.2/builtins/mkbuiltins.c
write_file_footers,0,bash-3.2/builtins/mkbuiltins.c
write_ifdefs,0,bash-3.2/builtins/mkbuiltins.c
write_endifs,0,bash-3.2/builtins/mkbuiltins.c
write_documentation,0,bash-3.2/builtins/mkbuiltins.c
write_longdocs,0,bash-3.2/builtins/mkbuiltins.c
write_builtins,0,bash-3.2/builtins/mkbuiltins.c
write_helpfiles,0,bash-3.2/builtins/mkbuiltins.c
free_defs,0,bash-3.2/builtins/mkbuiltins.c
add_documentation,0,bash-3.2/builtins/mkbuiltins.c
must_be_building,0,bash-3.2/builtins/mkbuiltins.c
remove_trailing_whitespace,0,bash-3.2/builtins/mkbuiltins.c
kill_pid,0,bash-3.2/jobs.c
copy_string_array,0,bash-3.2/builtins/mkbuiltins.c
array_add,0,bash-3.2/builtins/mkbuiltins.c
array_free,0,bash-3.2/builtins/mkbuiltins.c
builtin_handler,0,bash-3.2/builtins/mkbuiltins.c
function_handler,0,bash-3.2/builtins/mkbuiltins.c
short_doc_handler,0,bash-3.2/builtins/mkbuiltins.c
comment_handler,0,bash-3.2/builtins/mkbuiltins.c
depends_on_handler,0,bash-3.2/builtins/mkbuiltins.c
produces_handler,0,bash-3.2/builtins/mkbuiltins.c
end_handler,0,bash-3.2/builtins/mkbuiltins.c
docname_handler,0,bash-3.2/builtins/mkbuiltins.c
find_directive,0,bash-3.2/builtins/mkbuiltins.c
free_builtin,0,bash-3.2/builtins/mkbuiltins.c
strip_whitespace,0,bash-3.2/builtins/mkbuiltins.c
get_arg,0,bash-3.2/builtins/mkbuiltins.c
current_builtin,0,bash-3.2/builtins/mkbuiltins.c
